time,load,temperature,windspeed
2008-01-01 00:00:00,6080.0,-5.437,2.71
2008-01-01 01:00:00,5822.0,-5.631,2.72
2008-01-01 02:00:00,5436.0,-5.7989999999999995,2.69
2008-01-01 03:00:00,5253.0,-5.931,2.67
2008-01-01 04:00:00,5260.0,-6.11,2.61
2008-01-01 05:00:00,5015.0,-6.244,2.59
2008-01-01 06:00:00,5243.0,-6.356,2.57
2008-01-01 07:00:00,5442.0,-5.933,2.63
2008-01-01 08:00:00,5829.0,-4.448,2.67
2008-01-01 09:00:00,6150.0,-2.95,2.66
2008-01-01 10:00:00,6413.0,-1.839,2.74
2008-01-01 11:00:00,6365.0,-1.286,2.81
2008-01-01 12:00:00,6276.0,-1.136,2.77
2008-01-01 13:00:00,6271.0,-1.4080000000000001,2.33
2008-01-01 14:00:00,6280.0,-2.612,1.88
2008-01-01 15:00:00,6632.0,-4.235,2.07
2008-01-01 16:00:00,7176.0,-5.1080000000000005,2.18
2008-01-01 17:00:00,7265.0,-5.734,2.21
2008-01-01 18:00:00,7120.0,-6.263999999999999,2.21
2008-01-01 19:00:00,6866.0,-6.716,2.21
2008-01-01 20:00:00,6474.0,-7.1370000000000005,2.23
2008-01-01 21:00:00,6790.0,-7.537000000000001,2.25
2008-01-01 22:00:00,6412.0,-7.91,2.28
2008-01-01 23:00:00,6138.0,-8.195,2.33
2008-01-02 00:00:00,5836.0,-8.361,2.37
2008-01-02 01:00:00,5682.0,-8.495,2.4
2008-01-02 02:00:00,5481.0,-8.637,2.4
2008-01-02 03:00:00,5543.0,-8.727,2.37
2008-01-02 04:00:00,6062.0,-8.926,2.3
2008-01-02 05:00:00,6643.0,-9.165,2.24
2008-01-02 06:00:00,7453.0,-9.394,2.19
2008-01-02 07:00:00,7912.0,-9.027000000000001,2.2
2008-01-02 08:00:00,8245.0,-7.135,2.01
2008-01-02 09:00:00,8378.0,-4.985,2.02
2008-01-02 10:00:00,8511.0,-3.487,2.13
2008-01-02 11:00:00,8380.0,-2.614,2.21
2008-01-02 12:00:00,8276.0,-2.285,2.2
2008-01-02 13:00:00,8165.0,-2.489,2.05
2008-01-02 14:00:00,8131.0,-3.832,1.8
2008-01-02 15:00:00,8401.0,-5.956,2.14
2008-01-02 16:00:00,8897.0,-7.067,2.36
2008-01-02 17:00:00,8806.0,-7.672999999999999,2.48
2008-01-02 18:00:00,8449.0,-8.01,2.59
2008-01-02 19:00:00,7999.0,-8.22,2.66
2008-01-02 20:00:00,7488.0,-8.36,2.69
2008-01-02 21:00:00,7661.0,-8.424,2.74
2008-01-02 22:00:00,7124.0,-8.478,2.8
2008-01-02 23:00:00,6796.0,-8.538,2.88
2008-01-03 00:00:00,6467.0,-8.567,3.06
2008-01-03 01:00:00,6253.0,-8.586,3.28
2008-01-03 02:00:00,6036.0,-8.621,3.45
2008-01-03 03:00:00,6039.0,-8.651,3.53
2008-01-03 04:00:00,6397.0,-8.702,3.64
2008-01-03 05:00:00,6841.0,-8.706,3.81
2008-01-03 06:00:00,7656.0,-8.727,3.97
2008-01-03 07:00:00,8121.0,-8.291,4.28
2008-01-03 08:00:00,8396.0,-6.871,4.78
2008-01-03 09:00:00,8575.0,-5.531000000000001,5.33
2008-01-03 10:00:00,8705.0,-4.502,5.7
2008-01-03 11:00:00,8479.0,-3.7910000000000004,5.8
2008-01-03 12:00:00,8371.0,-3.4730000000000003,5.76
2008-01-03 13:00:00,8251.0,-3.622,5.57
2008-01-03 14:00:00,8223.0,-4.322,5.24
2008-01-03 15:00:00,8584.0,-5.329,5.15
2008-01-03 16:00:00,8967.0,-5.867999999999999,5.35
2008-01-03 17:00:00,8866.0,-6.205,5.46
2008-01-03 18:00:00,8479.0,-6.455,5.48
2008-01-03 19:00:00,7927.0,-6.63,5.46
2008-01-03 20:00:00,7411.0,-6.766,5.47
2008-01-03 21:00:00,7548.0,-6.856,5.35
2008-01-03 22:00:00,7055.0,-6.934,5.15
2008-01-03 23:00:00,6727.0,-7.065,5.0
2008-01-04 00:00:00,6400.0,-7.204,4.95
2008-01-04 01:00:00,6184.0,-7.3260000000000005,4.99
2008-01-04 02:00:00,5963.0,-7.374,5.01
2008-01-04 03:00:00,5992.0,-7.34,5.03
2008-01-04 04:00:00,6383.0,-7.261,5.07
2008-01-04 05:00:00,6859.0,-7.122999999999999,5.08
2008-01-04 06:00:00,7700.0,-7.013999999999999,5.0
2008-01-04 07:00:00,8186.0,-6.568,4.99
2008-01-04 08:00:00,8506.0,-5.247000000000001,5.27
2008-01-04 09:00:00,8668.0,-3.95,5.43
2008-01-04 10:00:00,8757.0,-2.911,5.44
2008-01-04 11:00:00,8528.0,-2.079,5.45
2008-01-04 12:00:00,8380.0,-1.626,5.42
2008-01-04 13:00:00,8249.0,-1.778,5.32
2008-01-04 14:00:00,8200.0,-2.693,5.07
2008-01-04 15:00:00,8550.0,-3.9339999999999997,5.02
2008-01-04 16:00:00,8897.0,-4.523,5.16
2008-01-04 17:00:00,8875.0,-4.82,5.22
2008-01-04 18:00:00,8459.0,-5.166,5.21
2008-01-04 19:00:00,7898.0,-5.507999999999999,5.18
2008-01-04 20:00:00,7407.0,-5.779,5.13
2008-01-04 21:00:00,7604.0,-5.972,5.1
2008-01-04 22:00:00,7112.0,-6.056,4.99
2008-01-04 23:00:00,6789.0,-6.082000000000001,4.75
2008-01-05 00:00:00,6383.0,-6.132999999999999,4.62
2008-01-05 01:00:00,6174.0,-6.206,4.56
2008-01-05 02:00:00,5913.0,-6.3020000000000005,4.47
2008-01-05 03:00:00,5855.0,-6.381,4.36
2008-01-05 04:00:00,6027.0,-6.346,4.26
2008-01-05 05:00:00,6088.0,-6.228,4.2
2008-01-05 06:00:00,6669.0,-6.099,4.25
2008-01-05 07:00:00,7137.0,-5.579,4.42
2008-01-05 08:00:00,7581.0,-4.516,4.59
2008-01-05 09:00:00,7805.0,-3.4589999999999996,4.65
2008-01-05 10:00:00,7961.0,-2.444,4.76
2008-01-05 11:00:00,7769.0,-1.626,4.81
2008-01-05 12:00:00,7640.0,-1.186,4.7
2008-01-05 13:00:00,7512.0,-1.337,4.49
2008-01-05 14:00:00,7471.0,-1.874,4.26
2008-01-05 15:00:00,7788.0,-2.417,4.16
2008-01-05 16:00:00,8123.0,-2.501,4.02
2008-01-05 17:00:00,7988.0,-2.448,3.75
2008-01-05 18:00:00,7670.0,-2.523,3.58
2008-01-05 19:00:00,7258.0,-2.583,3.4
2008-01-05 20:00:00,6813.0,-2.7,3.31
2008-01-05 21:00:00,7034.0,-2.714,3.24
2008-01-05 22:00:00,6621.0,-2.628,3.25
2008-01-05 23:00:00,6286.0,-2.497,3.32
2008-01-06 00:00:00,5948.0,-2.293,3.46
2008-01-06 01:00:00,5775.0,-2.077,3.63
2008-01-06 02:00:00,5524.0,-1.839,3.71
2008-01-06 03:00:00,5417.0,-1.704,3.86
2008-01-06 04:00:00,5476.0,-1.62,3.83
2008-01-06 05:00:00,5362.0,-1.5019999999999998,3.7
2008-01-06 06:00:00,5795.0,-1.429,3.52
2008-01-06 07:00:00,6235.0,-1.291,3.32
2008-01-06 08:00:00,6705.0,-0.858,3.09
2008-01-06 09:00:00,7077.0,-0.205,2.87
2008-01-06 10:00:00,7354.0,0.485,2.7
2008-01-06 11:00:00,7048.0,0.98,2.53
2008-01-06 12:00:00,6811.0,1.33,2.47
2008-01-06 13:00:00,6636.0,1.367,2.28
2008-01-06 14:00:00,6576.0,0.688,2.39
2008-01-06 15:00:00,6904.0,-0.247,2.71
2008-01-06 16:00:00,7395.0,-0.528,2.82
2008-01-06 17:00:00,7486.0,-0.593,2.84
2008-01-06 18:00:00,7404.0,-0.894,2.82
2008-01-06 19:00:00,7023.0,-1.162,2.79
2008-01-06 20:00:00,6624.0,-1.351,2.81
2008-01-06 21:00:00,6881.0,-1.537,2.85
2008-01-06 22:00:00,6447.0,-1.7169999999999999,2.86
2008-01-06 23:00:00,6167.0,-1.9509999999999998,2.77
2008-01-07 00:00:00,5916.0,-2.1319999999999997,2.71
2008-01-07 01:00:00,5770.0,-2.222,2.59
2008-01-07 02:00:00,5628.0,-2.438,2.58
2008-01-07 03:00:00,5751.0,-2.853,2.5
2008-01-07 04:00:00,6409.0,-3.3760000000000003,2.49
2008-01-07 05:00:00,7391.0,-3.5839999999999996,2.57
2008-01-07 06:00:00,8332.0,-3.2030000000000003,2.69
2008-01-07 07:00:00,8617.0,-2.05,3.0
2008-01-07 08:00:00,8693.0,-0.42100000000000004,3.67
2008-01-07 09:00:00,8887.0,0.604,3.95
2008-01-07 10:00:00,8979.0,1.3840000000000001,4.07
2008-01-07 11:00:00,8790.0,1.88,4.17
2008-01-07 12:00:00,8892.0,1.973,3.92
2008-01-07 13:00:00,8815.0,1.82,3.43
2008-01-07 14:00:00,8765.0,1.49,3.13
2008-01-07 15:00:00,8941.0,0.625,3.23
2008-01-07 16:00:00,9211.0,0.248,3.49
2008-01-07 17:00:00,9085.0,0.016,3.62
2008-01-07 18:00:00,8732.0,-0.248,3.62
2008-01-07 19:00:00,8151.0,-0.498,3.65
2008-01-07 20:00:00,7578.0,-0.677,3.61
2008-01-07 21:00:00,7598.0,-0.929,3.53
2008-01-07 22:00:00,7037.0,-1.328,3.33
2008-01-07 23:00:00,6707.0,-1.8359999999999999,3.18
2008-01-08 00:00:00,6413.0,-2.272,3.12
2008-01-08 01:00:00,6231.0,-2.546,3.18
2008-01-08 02:00:00,6076.0,-2.739,3.29
2008-01-08 03:00:00,6171.0,-2.8110000000000004,3.45
2008-01-08 04:00:00,6695.0,-2.762,3.61
2008-01-08 05:00:00,7595.0,-2.668,3.76
2008-01-08 06:00:00,8551.0,-2.524,3.87
2008-01-08 07:00:00,8826.0,-1.849,3.77
2008-01-08 08:00:00,8841.0,-0.127,3.61
2008-01-08 09:00:00,8884.0,1.357,3.51
2008-01-08 10:00:00,8877.0,2.37,3.27
2008-01-08 11:00:00,8583.0,3.088,2.98
2008-01-08 12:00:00,8590.0,3.3280000000000003,2.44
2008-01-08 13:00:00,8485.0,2.722,1.82
2008-01-08 14:00:00,8444.0,1.095,1.9
2008-01-08 15:00:00,8704.0,-0.40299999999999997,1.99
2008-01-08 16:00:00,9223.0,-0.8640000000000001,1.91
2008-01-08 17:00:00,9147.0,-1.308,1.86
2008-01-08 18:00:00,8731.0,-1.9040000000000001,1.97
2008-01-08 19:00:00,8231.0,-2.563,2.18
2008-01-08 20:00:00,7620.0,-3.003,2.41
2008-01-08 21:00:00,7712.0,-3.089,2.57
2008-01-08 22:00:00,7151.0,-2.989,2.7
2008-01-08 23:00:00,6845.0,-2.925,2.97
2008-01-09 00:00:00,6564.0,-3.037,3.17
2008-01-09 01:00:00,6367.0,-3.2260000000000004,3.23
2008-01-09 02:00:00,6170.0,-3.477,3.24
2008-01-09 03:00:00,6232.0,-3.766,3.24
2008-01-09 04:00:00,6767.0,-3.963,3.24
2008-01-09 05:00:00,7682.0,-4.121,3.15
2008-01-09 06:00:00,8733.0,-4.185,3.2
2008-01-09 07:00:00,8980.0,-3.5380000000000003,3.37
2008-01-09 08:00:00,8997.0,-2.001,3.42
2008-01-09 09:00:00,9115.0,-0.46399999999999997,3.38
2008-01-09 10:00:00,9149.0,0.777,3.27
2008-01-09 11:00:00,8879.0,1.4269999999999998,3.03
2008-01-09 12:00:00,8797.0,1.462,2.74
2008-01-09 13:00:00,8743.0,1.179,2.51
2008-01-09 14:00:00,8732.0,0.386,2.26
2008-01-09 15:00:00,8972.0,-0.275,2.36
2008-01-09 16:00:00,9292.0,-0.31,2.52
2008-01-09 17:00:00,9148.0,-0.312,2.52
2008-01-09 18:00:00,8732.0,-0.365,2.47
2008-01-09 19:00:00,8234.0,-0.43200000000000005,2.39
2008-01-09 20:00:00,7637.0,-0.541,2.31
2008-01-09 21:00:00,7651.0,-0.726,2.3
2008-01-09 22:00:00,7130.0,-0.94,2.35
2008-01-09 23:00:00,6786.0,-1.099,2.33
2008-01-10 00:00:00,6446.0,-1.182,2.23
2008-01-10 01:00:00,6238.0,-1.238,2.16
2008-01-10 02:00:00,6074.0,-1.206,2.07
2008-01-10 03:00:00,6147.0,-1.151,1.99
2008-01-10 04:00:00,6714.0,-1.103,1.95
2008-01-10 05:00:00,7660.0,-1.1079999999999999,1.91
2008-01-10 06:00:00,8609.0,-1.119,1.86
2008-01-10 07:00:00,8874.0,-0.649,1.91
2008-01-10 08:00:00,8931.0,0.441,1.98
2008-01-10 09:00:00,8999.0,1.7469999999999999,2.04
2008-01-10 10:00:00,8996.0,2.687,2.2
2008-01-10 11:00:00,8677.0,3.2510000000000003,2.28
2008-01-10 12:00:00,8610.0,3.415,2.29
2008-01-10 13:00:00,8583.0,2.804,2.2
2008-01-10 14:00:00,8567.0,1.001,2.23
2008-01-10 15:00:00,8841.0,-0.7609999999999999,2.6
2008-01-10 16:00:00,9274.0,-1.3769999999999998,2.88
