time,load,temperature,windspeed
2008-01-01 00:00:00,6668.0,-5.7860000000000005,1.93
2008-01-01 01:00:00,6463.0,-6.0520000000000005,1.96
2008-01-01 02:00:00,6305.0,-6.19,1.94
2008-01-01 03:00:00,6102.0,-6.395,1.99
2008-01-01 04:00:00,5977.0,-6.636,2.04
2008-01-01 05:00:00,5668.0,-6.896,2.05
2008-01-01 06:00:00,5398.0,-7.084,2.04
2008-01-01 07:00:00,5223.0,-6.853,1.96
2008-01-01 08:00:00,5491.0,-5.541,1.88
2008-01-01 09:00:00,5621.0,-4.159,2.03
2008-01-01 10:00:00,5433.0,-2.9,2.15
2008-01-01 11:00:00,5780.0,-1.943,2.46
2008-01-01 12:00:00,5881.0,-1.531,2.65
2008-01-01 13:00:00,5815.0,-1.5030000000000001,2.58
2008-01-01 14:00:00,5836.0,-2.059,2.1
2008-01-01 15:00:00,5854.0,-3.765,1.75
2008-01-01 16:00:00,6074.0,-5.095,1.97
2008-01-01 17:00:00,6123.0,-5.941,2.15
2008-01-01 18:00:00,5971.0,-6.747999999999999,2.29
2008-01-01 19:00:00,5939.0,-7.377999999999999,2.38
2008-01-01 20:00:00,5921.0,-7.928999999999999,2.43
2008-01-01 21:00:00,6333.0,-8.323,2.63
2008-01-01 22:00:00,6300.0,-8.828,2.63
2008-01-01 23:00:00,6604.0,-9.211,2.59
2008-01-02 00:00:00,6602.0,-9.342,2.63
2008-01-02 01:00:00,6533.0,-9.468,2.6
2008-01-02 02:00:00,6459.0,-9.6,2.56
2008-01-02 03:00:00,6232.0,-9.695,2.49
2008-01-02 04:00:00,6242.0,-9.758,2.45
2008-01-02 05:00:00,6108.0,-9.765,2.46
2008-01-02 06:00:00,5441.0,-9.852,2.49
2008-01-02 07:00:00,5440.0,-9.869,2.41
2008-01-02 08:00:00,5558.0,-8.6,2.46
2008-01-02 09:00:00,5896.0,-6.487,2.49
2008-01-02 10:00:00,5774.0,-4.618,2.53
2008-01-02 11:00:00,6007.0,-3.1710000000000003,2.37
2008-01-02 12:00:00,6025.0,-2.2030000000000003,2.19
2008-01-02 13:00:00,5857.0,-2.003,2.15
2008-01-02 14:00:00,5807.0,-2.838,2.07
2008-01-02 15:00:00,6040.0,-4.83,2.37
2008-01-02 16:00:00,6400.0,-6.212000000000001,2.78
2008-01-02 17:00:00,6441.0,-6.727,2.87
2008-01-02 18:00:00,6354.0,-6.818,2.78
2008-01-02 19:00:00,6345.0,-6.837999999999999,2.81
2008-01-02 20:00:00,6375.0,-6.921,2.93
2008-01-02 21:00:00,6713.0,-6.937,2.99
2008-01-02 22:00:00,6593.0,-6.702000000000001,2.98
2008-01-02 23:00:00,6890.0,-6.497999999999999,3.02
2008-01-03 00:00:00,6860.0,-6.291,3.1
2008-01-03 01:00:00,6751.0,-6.042999999999999,3.23
2008-01-03 02:00:00,6640.0,-5.82,3.41
2008-01-03 03:00:00,6425.0,-5.727,3.56
2008-01-03 04:00:00,6516.0,-5.6579999999999995,3.78
2008-01-03 05:00:00,6779.0,-5.662000000000001,3.94
2008-01-03 06:00:00,6426.0,-5.6339999999999995,4.11
2008-01-03 07:00:00,6474.0,-5.457000000000001,4.3
2008-01-03 08:00:00,6506.0,-4.592,4.48
2008-01-03 09:00:00,6566.0,-3.553,4.54
2008-01-03 10:00:00,6579.0,-2.582,4.51
2008-01-03 11:00:00,6710.0,-1.7519999999999998,4.33
2008-01-03 12:00:00,6723.0,-1.172,4.35
2008-01-03 13:00:00,6618.0,-1.022,4.21
2008-01-03 14:00:00,6389.0,-1.494,4.13
2008-01-03 15:00:00,6429.0,-2.8080000000000003,4.2
2008-01-03 16:00:00,6599.0,-3.8489999999999998,4.38
2008-01-03 17:00:00,6616.0,-4.211,4.64
2008-01-03 18:00:00,6457.0,-4.355,4.66
2008-01-03 19:00:00,6652.0,-4.3389999999999995,4.63
2008-01-03 20:00:00,6584.0,-4.263999999999999,4.59
2008-01-03 21:00:00,6901.0,-4.154,4.56
2008-01-03 22:00:00,6751.0,-4.0489999999999995,4.63
2008-01-03 23:00:00,6882.0,-3.909,4.59
2008-01-04 00:00:00,6781.0,-3.705,4.51
2008-01-04 01:00:00,6806.0,-3.363,4.46
2008-01-04 02:00:00,6709.0,-3.15,4.39
2008-01-04 03:00:00,6534.0,-3.082,4.3
2008-01-04 04:00:00,6523.0,-3.1660000000000004,4.19
2008-01-04 05:00:00,6773.0,-3.202,4.26
2008-01-04 06:00:00,6571.0,-3.077,4.15
2008-01-04 07:00:00,6637.0,-2.69,3.88
2008-01-04 08:00:00,6593.0,-1.238,3.48
2008-01-04 09:00:00,6654.0,0.519,3.22
2008-01-04 10:00:00,6638.0,1.911,3.16
2008-01-04 11:00:00,6922.0,2.753,3.19
2008-01-04 12:00:00,7049.0,3.056,2.99
2008-01-04 13:00:00,7024.0,2.637,2.63
2008-01-04 14:00:00,6690.0,1.7630000000000001,2.62
2008-01-04 15:00:00,6531.0,0.6779999999999999,2.97
2008-01-04 16:00:00,6570.0,-0.008,3.31
2008-01-04 17:00:00,6598.0,-0.598,3.58
2008-01-04 18:00:00,6452.0,-1.157,3.72
2008-01-04 19:00:00,6611.0,-1.3259999999999998,3.53
2008-01-04 20:00:00,6533.0,-1.284,3.36
