time,load,temperature,windspeed
2008-01-01 00:00:00,14003.0,-3.147,2.27
2008-01-01 01:00:00,13317.0,-3.236,2.21
2008-01-01 02:00:00,12830.0,-3.33,2.16
2008-01-01 03:00:00,12614.0,-3.43,2.12
2008-01-01 04:00:00,12417.0,-3.5210000000000004,2.09
2008-01-01 05:00:00,12353.0,-3.616,2.03
2008-01-01 06:00:00,12179.0,-3.717,1.97
2008-01-01 07:00:00,12012.0,-3.5410000000000004,2.01
2008-01-01 08:00:00,12369.0,-2.767,2.17
2008-01-01 09:00:00,12843.0,-2.011,2.29
2008-01-01 10:00:00,13235.0,-1.311,2.38
2008-01-01 11:00:00,13655.0,-0.82,2.53
2008-01-01 12:00:00,14125.0,-0.76,2.57
2008-01-01 13:00:00,14344.0,-1.255,2.44
2008-01-01 14:00:00,14757.0,-2.13,2.66
2008-01-01 15:00:00,16307.0,-2.53,3.0
2008-01-01 16:00:00,16727.0,-2.806,3.18
2008-01-01 17:00:00,16786.0,-3.0989999999999998,3.31
2008-01-01 18:00:00,17028.0,-3.4189999999999996,3.39
2008-01-01 19:00:00,16659.0,-3.75,3.45
2008-01-01 20:00:00,15923.0,-4.033,3.58
2008-01-01 21:00:00,15157.0,-4.246,3.76
2008-01-01 22:00:00,14031.0,-4.426,3.92
2008-01-01 23:00:00,13207.0,-4.598,4.06
2008-01-02 00:00:00,12784.0,-4.749,4.22
2008-01-02 01:00:00,12593.0,-4.916,4.33
2008-01-02 02:00:00,12645.0,-5.105,4.41
2008-01-02 03:00:00,12858.0,-5.329,4.44
2008-01-02 04:00:00,13734.0,-5.595,4.5
2008-01-02 05:00:00,16141.0,-5.841,4.63
2008-01-02 06:00:00,18314.0,-6.039,4.77
2008-01-02 07:00:00,19064.0,-5.832000000000001,5.06
2008-01-02 08:00:00,19723.0,-5.012,5.5
2008-01-02 09:00:00,19975.0,-4.287,5.93
2008-01-02 10:00:00,20262.0,-3.8810000000000002,5.98
2008-01-02 11:00:00,20289.0,-3.77,5.89
2008-01-02 12:00:00,20493.0,-3.99,5.8
2008-01-02 13:00:00,20317.0,-4.604,5.59
2008-01-02 14:00:00,20402.0,-5.652,5.2
2008-01-02 15:00:00,21927.0,-6.49,5.21
2008-01-02 16:00:00,22070.0,-7.058,5.36
2008-01-02 17:00:00,21843.0,-7.636,5.37
2008-01-02 18:00:00,21717.0,-8.211,5.32
2008-01-02 19:00:00,21159.0,-8.769,5.19
2008-01-02 20:00:00,19990.0,-9.349,5.08
2008-01-02 21:00:00,18618.0,-9.869,5.1
2008-01-02 22:00:00,17298.0,-10.255999999999998,5.19
2008-01-02 23:00:00,16123.0,-10.59,5.27
2008-01-03 00:00:00,15514.0,-10.89,5.35
2008-01-03 01:00:00,15210.0,-11.097000000000001,5.48
2008-01-03 02:00:00,15213.0,-11.216,5.56
2008-01-03 03:00:00,15352.0,-11.222999999999999,5.73
2008-01-03 04:00:00,15895.0,-11.247,5.92
2008-01-03 05:00:00,17938.0,-11.35,6.11
2008-01-03 06:00:00,19794.0,-11.472000000000001,6.25
2008-01-03 07:00:00,20260.0,-11.109000000000002,6.59
2008-01-03 08:00:00,20568.0,-9.854,7.2
2008-01-03 09:00:00,20581.0,-8.379,7.76
2008-01-03 10:00:00,20654.0,-7.164,8.03
2008-01-03 11:00:00,20794.0,-6.3229999999999995,8.15
2008-01-03 12:00:00,21035.0,-6.02,8.06
2008-01-03 13:00:00,20730.0,-6.473,7.77
2008-01-03 14:00:00,20795.0,-7.635,7.74
2008-01-03 15:00:00,22427.0,-8.513,8.13
2008-01-03 16:00:00,22924.0,-9.032,8.42
2008-01-03 17:00:00,22652.0,-9.452,8.57
2008-01-03 18:00:00,22450.0,-9.817,8.61
2008-01-03 19:00:00,21741.0,-10.137,8.55
2008-01-03 20:00:00,20548.0,-10.417,8.45
2008-01-03 21:00:00,19054.0,-10.600999999999999,8.25
2008-01-03 22:00:00,17729.0,-10.762,8.06
2008-01-03 23:00:00,16629.0,-10.914000000000001,7.99
2008-01-04 00:00:00,16014.0,-11.023,8.02
2008-01-04 01:00:00,15798.0,-11.13,8.01
2008-01-04 02:00:00,15788.0,-11.251,7.99
2008-01-04 03:00:00,15997.0,-11.415,8.02
2008-01-04 04:00:00,16552.0,-11.595999999999998,8.05
2008-01-04 05:00:00,18488.0,-11.758,8.08
2008-01-04 06:00:00,20315.0,-11.857999999999999,8.08
2008-01-04 07:00:00,20848.0,-11.495999999999999,8.19
2008-01-04 08:00:00,21110.0,-10.389000000000001,8.49
2008-01-04 09:00:00,21210.0,-9.074,8.68
2008-01-04 10:00:00,21420.0,-7.821000000000001,8.74
2008-01-04 11:00:00,21534.0,-6.9079999999999995,8.7
2008-01-04 12:00:00,21634.0,-6.55,8.5
2008-01-04 13:00:00,21309.0,-6.846,8.15
2008-01-04 14:00:00,21336.0,-7.636,8.08
2008-01-04 15:00:00,22885.0,-8.214,8.39
2008-01-04 16:00:00,23115.0,-8.531,8.52
2008-01-04 17:00:00,22774.0,-8.79,8.44
2008-01-04 18:00:00,22607.0,-8.979,8.31
2008-01-04 19:00:00,21819.0,-9.101,8.15
2008-01-04 20:00:00,20523.0,-9.214,7.97
2008-01-04 21:00:00,19331.0,-9.318,7.77
2008-01-04 22:00:00,18056.0,-9.411,7.57
2008-01-04 23:00:00,17093.0,-9.519,7.37
2008-01-05 00:00:00,16360.0,-9.582,7.32
2008-01-05 01:00:00,15890.0,-9.636000000000001,7.3
2008-01-05 02:00:00,15864.0,-9.696,7.28
2008-01-05 03:00:00,15863.0,-9.888,7.35
2008-01-05 04:00:00,15862.0,-10.202,7.34
2008-01-05 05:00:00,16516.0,-10.444,7.31
2008-01-05 06:00:00,17330.0,-10.594000000000001,7.35
2008-01-05 07:00:00,17911.0,-10.225,7.54
2008-01-05 08:00:00,18760.0,-9.171,7.75
2008-01-05 09:00:00,19363.0,-7.675,8.0
2008-01-05 10:00:00,19654.0,-6.069,8.19
2008-01-05 11:00:00,19670.0,-4.887,8.15
2008-01-05 12:00:00,19654.0,-4.345,7.82
2008-01-05 13:00:00,19076.0,-4.499,7.63
2008-01-05 14:00:00,19184.0,-5.0969999999999995,7.57
2008-01-05 15:00:00,20707.0,-5.452000000000001,7.71
2008-01-05 16:00:00,20917.0,-5.627000000000001,7.7
2008-01-05 17:00:00,20880.0,-5.647,7.67
2008-01-05 18:00:00,20629.0,-5.58,7.65
2008-01-05 19:00:00,19870.0,-5.477,7.57
2008-01-05 20:00:00,18757.0,-5.357,7.47
2008-01-05 21:00:00,17895.0,-5.155,7.27
2008-01-05 22:00:00,16584.0,-4.914,7.01
2008-01-05 23:00:00,15494.0,-4.712,6.84
2008-01-06 00:00:00,14753.0,-4.632,6.58
2008-01-06 01:00:00,14320.0,-4.643,6.39
2008-01-06 02:00:00,14182.0,-4.637,6.22
2008-01-06 03:00:00,14119.0,-4.538,6.08
2008-01-06 04:00:00,14075.0,-4.303999999999999,6.0
2008-01-06 05:00:00,14304.0,-4.021,5.96
2008-01-06 06:00:00,14556.0,-3.7489999999999997,5.97
2008-01-06 07:00:00,14774.0,-3.341,6.09
2008-01-06 08:00:00,15564.0,-2.7680000000000002,6.18
2008-01-06 09:00:00,16331.0,-2.233,6.1
2008-01-06 10:00:00,16708.0,-1.82,5.97
2008-01-06 11:00:00,16918.0,-1.5319999999999998,5.82
2008-01-06 12:00:00,17223.0,-1.369,5.61
2008-01-06 13:00:00,17139.0,-1.39,5.36
2008-01-06 14:00:00,17250.0,-1.568,5.14
2008-01-06 15:00:00,18588.0,-1.633,5.29
2008-01-06 16:00:00,19048.0,-1.609,5.37
2008-01-06 17:00:00,19106.0,-1.6219999999999999,5.29
2008-01-06 18:00:00,19203.0,-1.6230000000000002,5.18
2008-01-06 19:00:00,18697.0,-1.5930000000000002,5.09
2008-01-06 20:00:00,17724.0,-1.55,5.05
2008-01-06 21:00:00,16939.0,-1.454,5.01
2008-01-06 22:00:00,15709.0,-1.3780000000000001,4.94
2008-01-06 23:00:00,14774.0,-1.35,4.82
2008-01-07 00:00:00,14252.0,-1.3530000000000002,4.64
2008-01-07 01:00:00,13987.0,-1.4469999999999998,4.39
2008-01-07 02:00:00,13969.0,-1.599,4.2
2008-01-07 03:00:00,14273.0,-1.85,3.92
2008-01-07 04:00:00,15017.0,-2.108,3.67
2008-01-07 05:00:00,17473.0,-2.394,3.46
2008-01-07 06:00:00,19569.0,-2.6860000000000004,3.38
2008-01-07 07:00:00,20263.0,-2.505,3.55
2008-01-07 08:00:00,20648.0,-1.5019999999999998,3.89
2008-01-07 09:00:00,20672.0,-0.505,3.92
2008-01-07 10:00:00,20780.0,0.255,3.79
2008-01-07 11:00:00,20849.0,0.73,3.86
2008-01-07 12:00:00,21032.0,0.831,3.93
2008-01-07 13:00:00,20814.0,0.183,3.87
2008-01-07 14:00:00,20922.0,-1.094,4.33
2008-01-07 15:00:00,22282.0,-1.334,4.88
2008-01-07 16:00:00,22510.0,-1.125,5.21
2008-01-07 17:00:00,22165.0,-0.993,5.5
2008-01-07 18:00:00,22036.0,-0.861,5.86
2008-01-07 19:00:00,21316.0,-0.77,6.02
2008-01-07 20:00:00,20220.0,-0.773,5.96
2008-01-07 21:00:00,18636.0,-0.6729999999999999,5.95
2008-01-07 22:00:00,17311.0,-0.48,5.98
2008-01-07 23:00:00,16264.0,-0.341,5.81
2008-01-08 00:00:00,15650.0,-0.284,5.64
2008-01-08 01:00:00,15256.0,-0.262,5.53
2008-01-08 02:00:00,15272.0,-0.273,5.42
2008-01-08 03:00:00,15402.0,-0.29,5.39
2008-01-08 04:00:00,15964.0,-0.28600000000000003,5.47
2008-01-08 05:00:00,17915.0,-0.298,5.58
2008-01-08 06:00:00,19747.0,-0.293,5.64
2008-01-08 07:00:00,20268.0,0.133,5.82
2008-01-08 08:00:00,20557.0,0.772,5.95
2008-01-08 09:00:00,20576.0,1.228,5.88
2008-01-08 10:00:00,20779.0,1.594,5.83
2008-01-08 11:00:00,20773.0,1.869,5.73
2008-01-08 12:00:00,20873.0,1.949,5.46
2008-01-08 13:00:00,20567.0,1.6769999999999998,5.13
2008-01-08 14:00:00,20541.0,0.871,4.88
2008-01-08 15:00:00,21958.0,0.254,4.85
2008-01-08 16:00:00,22361.0,-0.122,4.72
2008-01-08 17:00:00,22023.0,-0.426,4.72
2008-01-08 18:00:00,22013.0,-0.638,4.75
2008-01-08 19:00:00,21153.0,-0.691,4.88
2008-01-08 20:00:00,20097.0,-0.7959999999999999,4.92
2008-01-08 21:00:00,18487.0,-0.961,4.78
2008-01-08 22:00:00,17164.0,-1.195,4.62
2008-01-08 23:00:00,16142.0,-1.5230000000000001,4.53
2008-01-09 00:00:00,15505.0,-1.9080000000000001,4.45
2008-01-09 01:00:00,15262.0,-2.289,4.44
2008-01-09 02:00:00,15232.0,-2.6439999999999997,4.48
2008-01-09 03:00:00,15473.0,-2.98,4.55
2008-01-09 04:00:00,16054.0,-3.283,4.69
2008-01-09 05:00:00,18117.0,-3.487,4.85
2008-01-09 06:00:00,19853.0,-3.6839999999999997,4.98
2008-01-09 07:00:00,20289.0,-3.168,5.27
2008-01-09 08:00:00,20533.0,-1.735,5.6
2008-01-09 09:00:00,20399.0,-0.473,5.4
2008-01-09 10:00:00,20597.0,0.573,5.27
2008-01-09 11:00:00,20508.0,1.176,5.33
2008-01-09 12:00:00,20577.0,1.2919999999999998,5.34
2008-01-09 13:00:00,20245.0,0.685,5.35
